"speciesid","speciesname","taxon","conservation_status","listed"
"46474","Myrmekiaphila torreya","Invertebrates","2 ",0
"46487","Hylaeus formosus","Invertebrates","3",0
"46486","Hylaeus volusiensis","Invertebrates","1",0
"46485","Colletes longifacies","Invertebrates","1",0
"46484","Colletes titusensis","Invertebrates","1",0
"46483","Caupolicana electa","Invertebrates","2 ",0
"46482","Caupolicana floridana","Invertebrates","1",0
"46493","Perdita blatchleyi","Invertebrates","2 ",0
"46488","Ashmeadiella floridana","Invertebrates","3",0
"46481","Stelis ater","Invertebrates","1",0
"46491","Lasioglossum placidensis","Invertebrates","UNK",0
"46490","Lasioglossum surianae","Invertebrates","1",0
"46489","Lasioglossum tahitensis","Invertebrates","1",0
"46480","Triepeolus rugosus","Invertebrates","1",0
"46479","Centris errans","Invertebrates","2 ",0
"46068","Erebomaster nr. acanthina","Invertebrates","UNK",0
"46069","Pseudosinella meganporteri","Invertebrates","2 ",0
"49463","Polyphylla starkae","Invertebrates","1",0
"12438","Agaricia lamarcki","Invertebrates","3",0
"49476","Orbicella faveolata","Invertebrates","2 ",1
"49477","Orbicella franksi","Invertebrates","3",1
"49478","Keltonia robusta","Invertebrates","2 ",0
"49466","Pleotomodes needhami","Invertebrates","1",0
"49467","Telamona archboldi","Invertebrates","1",0
"49468","Keltonia rubrofemorata","Invertebrates","2 ",0
"49469","Dorymyrmex flavopectus","Invertebrates","2 ",0
"49470","Philonthus gopheri","Invertebrates","1",0
"49472","Eutrichota gopheri","Invertebrates","2 ",0
"49475","Philonthus testudo","Invertebrates","2 ",0
"49465","Colaspis sp. 1","Invertebrates","1",0
"49473","Colletes francesae","Invertebrates","1",0
"49459","Drapetis sp. 1","Invertebrates","1",0
"49461","Leiopsammodius deyrupi","Invertebrates","1",0
"49462","Liopinus sp. 1","Invertebrates","1",0
"49460","Pieza rhea","Invertebrates","1",0
"49464","Melissodes manipularis","Invertebrates","2 ",0
"49458","Perdita graenicheri","Invertebrates","1",0
"49471","Machimus polyphemi","Invertebrates","2 ",0
"49474","Typhloceuthophilus floridanus","Invertebrates","2 ",0
"52488","Eurycea sphagnicola","Amphibians","1",0
"52489","Eurycea hillisi","Amphibians","3",0
"44778","Percina crypta","Fishes","2 ",0
"44779","Hybopsis sp. 9","Fishes","1",0
"52487","Macrochelys suwanniensis","Reptiles","2 ",0
"48603","Bistolodesmus bonikus","Invertebrates","UNK",0
"48647","Isaphe convexa","Invertebrates","UNK",0
"48648","Ischnocybe plicata","Invertebrates","UNK",0
"48659","Orinisobates utus","Invertebrates","UNK",0
"48660","Orophe unicus","Invertebrates","UNK",0
"48700","Tingupa intergerina","Invertebrates","UNK",0
"48651","Macromastus marginandus","Invertebrates","UNK",0
"48599","Agathon markii","Invertebrates","UNK",0
"48601","Atherix pachypus","Invertebrates","UNK",0
"48602","Bibiocephala grandis","Invertebrates","UNK",0
"48604","Boreochlus persimilis","Invertebrates","UNK",0
"48609","Cleptelmis addenda","Invertebrates","UNK",0
"48610","Cleptelmis ornata","Invertebrates","UNK",0
"48617","Deuterophlebia coloradensis","Invertebrates","UNK",0
"48627","Helichus suturalis","Invertebrates","UNK",0
"48628","Heterlimnius corpulentus","Invertebrates","UNK",0
"48649","Lara avara","Invertebrates","UNK",0
"48653","Narpus concolor","Invertebrates","UNK",0
"48654","Optioservus divergens","Invertebrates","UNK",0
"48655","Optioservus quadrimaculatus","Invertebrates","UNK",0
"48656","Optioservus seriatus","Invertebrates","UNK",0
"48657","Ordobrevia nubifera","Invertebrates","UNK",0
"48663","Palmacorixa gillettei","Invertebrates","UNK",0
"48689","Ranatra fusca","Invertebrates","UNK",0
"48690","Scierus pubescens","Invertebrates","5",0
"48636","Hylurgops porosus","Invertebrates","5",0
"48637","Hylurgops reticulatus","Invertebrates","5",0
"48638","Hylurgops subcostulatus","Invertebrates","UNK",0
"48630","Hylastes gracilis","Invertebrates","UNK",0
